Codigo;Provincia;distrito;name;poblacion;fecha;edad;sexo;numero_viajes;personas
28;Madrid                ;2807909 ;Moncloa-Aravaca                               ;120589;202401;25-45;mujer;2;101960.192
28;Madrid                ;2807909 ;Moncloa-Aravaca                               ;120589;202401;25-45;mujer;2+;262197.757
28;Madrid                ;2807909 ;Moncloa-Aravaca                               ;120589;202401;45-65;hombre;0;97884.241
28;Madrid                ;2807909 ;Moncloa-Aravaca                               ;120589;202401;45-65;hombre;1;16872.397
28;Madrid                ;2807909 ;Moncloa-Aravaca                               ;120589;202401;45-65;hombre;2;96665.142
28;Madrid                ;2807909 ;Moncloa-Aravaca                               ;120589;202401;45-65;hombre;2+;258676.655
28;Madrid                ;2807909 ;Moncloa-Aravaca                               ;120589;202401;45-65;mujer;0;108323.402
28;Madrid                ;2807909 ;Moncloa-Aravaca                               ;120589;202401;45-65;mujer;1;20042.945
28;Madrid                ;2807909 ;Moncloa-Aravaca                               ;120589;202401;45-65;mujer;2;112396.657
28;Madrid                ;2807909 ;Moncloa-Aravaca                               ;120589;202401;45-65;mujer;2+;300084.265
28;Madrid                ;2807909 ;Moncloa-Aravaca                               ;120589;202401;65-100;hombre;0;107883.121
28;Madrid                ;2807909 ;Moncloa-Aravaca                               ;120589;202401;65-100;hombre;1;12979.122
28;Madrid                ;2807909 ;Moncloa-Aravaca                               ;120589;202401;65-100;hombre;2;64010.922
28;Madrid                ;2807909 ;Moncloa-Aravaca                               ;120589;202401;65-100;hombre;2+;132720.684
28;Madrid                ;2807909 ;Moncloa-Aravaca                               ;120589;202401;65-100;mujer;0;159572.9099999999
28;Madrid                ;2807909 ;Moncloa-Aravaca                               ;120589;202401;65-100;mujer;1;20566.822
28;Madrid                ;2807909 ;Moncloa-Aravaca                               ;120589;202401;65-100;mujer;2;101984.188
28;Madrid                ;2807909 ;Moncloa-Aravaca                               ;120589;202401;65-100;mujer;2+;201030.028
